label,probe_group,Δ,x,g,E,N,cutoff_budget_exceeded,trunc_tol,ss_ilu_tau,ss_rebuild_niter,ss_converged,ss_iterations,ss_rebuilds,trace_error,hermiticity_error,liouvillian_residual,relative_liouvillian_residual,c1,c2,c3,Fano,current_check,fcs_retry,fcs_warnings,liouvillian_seconds,preconditioner_seconds,ilu_seconds,gmres_seconds,fcs_seconds,total_seconds,n,occupation_fraction,cutoff_status,cavity_boundary,cavity_tail,cavity_tail5
"fcs Δ=0.0, x=0.35",fixed g drive sweep,0.0,0.35,14.0,2.4499999999999997,150,false,0.0001,0.1,80,true,47,0,8.298917109073045e-12,4.39623227720563e-12,2.936878274409804e-11,7.181710751328329e-19,0.003108397188637307,0.011074089429957325,0.05057115212995042,3.562636548005664,1.0000000000000007,false,0,0.198636042,0.0,0.0,0.280074958,0.632350084,1.118286334,0.003108397188637305,2.07226479242487e-5,safe,7.122478094272879e-130,2.1009330549973375e-128,4.696038700680703e-124
"fcs Δ=0.0, x=0.38",fixed g drive sweep,0.0,0.38,14.0,2.66,150,false,0.0001,0.1,80,true,55,0,2.0895285501865146e-11,7.914641594238063e-12,3.4637827279391964e-11,8.352783905871996e-19,0.00475360117431712,0.018882372549781905,0.09977194212246622,3.9722248159563907,1.0,false,0,0.185605875,0.0,0.0,0.459438166,0.749816792,1.403383333,0.00475360117431712,3.169067449544747e-5,safe,1.7852895077377965e-112,2.2531363023593313e-111,2.2531363023593313e-111
"fcs Δ=0.0, x=0.41",fixed g drive sweep,0.0,0.41,14.0,2.8699999999999997,150,false,0.0001,0.1,80,true,65,0,6.621703185771821e-12,1.1142462817337917e-11,3.60903719861568e-11,8.588068877643526e-19,0.0071581470962486515,0.032019000544908985,0.19782470033144248,4.473085019681851,1.0,false,0,0.150798333,0.0,0.0,0.40810725,1.07178425,1.63793725,0.0071581470962486515,4.772098064165768e-5,safe,3.7279906373616245e-98,6.062001051703732e-97,4.205888009366973e-94
"fcs Δ=0.0, x=0.44",fixed g drive sweep,0.0,0.44,14.0,3.08,150,false,0.0001,0.1,80,true,78,0,8.768541448489486e-13,1.2889141796636948e-11,3.6503880222831446e-11,8.578433942844585e-19,0.010654764284761666,0.05419631501687952,0.3954499813745307,5.0865803849260685,1.0000000000000009,false,0,0.156170959,0.0,0.0,0.554563209,1.256960709,1.976510875,0.010654764284761656,7.103176189841104e-5,safe,4.155486989879965e-86,7.568502788031635e-85,1.0800223402359669e-81
"fcs Δ=0.0, x=0.47",fixed g drive sweep,0.0,0.47,14.0,3.29,150,false,0.0001,0.1,80,true,96,1,9.325873406851315e-15,1.9671164780803896e-15,7.147950388704406e-15,1.6604688925089903e-22,0.015725892202372027,0.09182924592576211,0.798689400978061,5.839366361160162,1.0000000000000002,false,0,0.151223834,0.5618575,0.5618575,0.850008999,0.175126959,1.895105667,0.015725892202372024,0.00010483928134914682,safe,1.9080095261871238e-57,1.1970596349109561e-56,7.07889055396766e-55
"fcs Δ=0.0, x=0.5",fixed g drive sweep,0.0,0.5,14.0,3.5,150,false,0.0001,0.1,80,true,11,0,1.6464607455191071e-12,6.438020516883853e-12,2.1282245855440537e-11,4.892824640020677e-19,0.02307473407061414,0.15608752410238835,1.6318055568273275,6.764434364648522,0.9999999999999997,false,0,0.03605175,0.0,0.0,0.228161958,0.246080958,0.51862175,0.023074734070614146,0.00015383156047076097,safe,1.548587591805916e-51,8.573782764179563e-51,2.6899280809229476e-49
"fcs Δ=0.0, x=0.51",fixed g drive sweep,0.0,0.51,14.0,3.5700000000000003,150,false,0.0001,0.1,80,true,12,0,4.636402373137116e-12,2.9094449465855226e-12,1.2860064456761684e-11,2.947256658379071e-19,0.026196445431992663,0.1864615448143616,2.0760807184903487,7.117818533755868,0.9999999999999996,false,0,0.041065917,0.0,0.0,0.230906916,0.26908025,0.548070042,0.026196445431992673,0.00017464296954661782,safe,3.3947811327855386e-50,2.0550185477649596e-49,1.0356200453170048e-47
"fcs Δ=0.0, x=0.52",fixed g drive sweep,0.0,0.52,14.0,3.64,150,false,0.0001,0.1,80,true,13,0,8.8609120041383e-12,4.069623728080398e-12,1.6422930122601636e-11,3.7526192958150777e-19,0.029730290051639543,0.22287166287747825,2.6447784752523016,7.496451009740065,0.9999999999999992,false,0,0.017044791,0.0,0.0,0.146368334,0.426719125,0.5979775,0.029730290051639567,0.0001982019336775971,safe,1.4088815416268525e-49,1.0696386317670492e-48,9.332184355351379e-47
"fcs Δ=0.0, x=0.53",fixed g drive sweep,0.0,0.53,14.0,3.71,150,false,0.0001,0.1,80,true,15,0,8.42537151157785e-12,1.6604553623520638e-12,6.200561461997085e-12,1.4128839691692394e-19,0.033731466631224345,0.26655028207127485,3.373601223041032,7.902125483762279,1.0,false,0,0.016546417,0.0,0.0,0.14376775,0.318843792,0.486397084,0.033731466631224345,0.0002248764442081623,safe,0.0,0.0,2.7250579510362708e-46
"fcs Δ=0.0, x=0.54",fixed g drive sweep,0.0,0.54,14.0,3.7800000000000002,150,false,0.0001,0.1,80,true,16,0,2.220490458171298e-11,2.9949251937368926e-12,1.2101782737803898e-11,2.75046250897417e-19,0.03826281686116104,0.31898719518258173,4.308672027071615,8.336741028242802,0.9999999999999994,false,0,0.146512042,0.0,0.0,0.189055125,0.359453833,0.703738167,0.038262816861161064,0.00025508544574107377,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.55",fixed g drive sweep,0.0,0.55,14.0,3.8500000000000005,150,false,0.0001,0.1,80,true,18,0,1.095501467318627e-11,2.007635775507476e-12,7.942606123416755e-12,1.800930348379103e-19,0.043395914268825796,0.3819838904693255,5.509590479887436,8.802300790416352,1.0,false,0,0.044243125,0.0,0.0,0.336576167,0.381795041,0.769721042,0.043395914268825796,0.0002893060951255053,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.56",fixed g drive sweep,0.0,0.56,14.0,3.9200000000000004,150,false,0.0001,0.1,80,true,19,0,2.769318108164498e-11,3.508880522824221e-12,1.3997421722658577e-11,3.1671168622402928e-19,0.04921231010079643,0.4577193062311461,7.053386977832922,9.300910794344901,1.0000000000000002,false,0,0.035225291,0.0,0.0,0.164052041,0.382872959,0.729760125,0.049212310100796415,0.0003280820673386428,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.57",fixed g drive sweep,0.0,0.57,14.0,3.9899999999999998,150,false,0.0001,0.1,80,true,21,0,3.2602809341142347e-12,2.704204637150109e-12,1.1058354698953079e-11,2.4974805519996683e-19,0.05580495799442072,0.5488293065437883,9.039629595176388,9.834776806008154,1.0000000000000004,false,0,0.01937825,0.0,0.0,0.197036667,0.445164292,0.668822958,0.055804957994420694,0.000372033053296138,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.58",fixed g drive sweep,0.0,0.58,14.0,4.06,150,false,0.0001,0.1,80,true,22,0,3.9745207125463367e-11,4.97998386775929e-12,2.1016705165131096e-11,4.739088079565761e-19,0.06327984203040242,0.6585025399047905,11.596993909882906,10.406197594305258,1.0000000000000009,false,0,0.149316959,0.0,0.0,0.213438083,0.481624334,0.851419125,0.06327984203040236,0.0004218656135360158,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.59",fixed g drive sweep,0.0,0.59,14.0,4.13,150,false,0.0001,0.1,80,true,24,0,3.856004404667601e-11,4.7850803124918496e-12,2.0184483151154437e-11,4.545689790551168e-19,0.07175783696787653,0.79059607796909,14.89173328486076,11.017557264484047,1.0,false,0,0.045425458,0.0,0.0,0.383856333,0.560931875,0.99775475,0.07175783696787653,0.0004783855797858436,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.6",fixed g drive sweep,0.0,0.6,14.0,4.2,150,false,0.0001,0.1,80,true,26,0,1.8592904993397497e-12,5.2699698381880365e-12,1.963354052625949e-11,4.417511615243821e-19,0.08137683090089011,0.949774438061479,19.138544139471396,11.6713126764327,1.0,false,0,0.021341416,0.0,0.0,0.297389541,0.722975,1.049132833,0.08137683090089011,0.0005425122060059341,safe,0.0,0.0,0.0
